,region,time,iso,gdp_percapita_mean,gdp_percapita_std
14166,CUB.16_1,2012,CUB,5376.735083395156,3145.0173325457617
14167,CUB.16_1,2013,CUB,5661.719425842721,3537.165506088351
14168,CUB.1_1,1992,CUB,2329.592369548756,1434.9734343498528
14169,CUB.1_1,1993,CUB,2248.412248427618,1278.0608760853813
14170,CUB.1_1,1994,CUB,2821.1332072969,1778.0014347510537
14171,CUB.1_1,1995,CUB,2943.434673742644,1851.3643870822475
14172,CUB.1_1,1996,CUB,2384.0117681692755,1430.7282083239331
14173,CUB.1_1,1997,CUB,2348.5675376689014,1408.3780433901823
14174,CUB.1_1,1998,CUB,2328.7726968659176,1413.4077348519988
14175,CUB.1_1,1999,CUB,2675.4310647224543,1656.7151690651028
14176,CUB.1_1,2000,CUB,2771.3338258480057,1704.8564040555134
14177,CUB.1_1,2001,CUB,2660.997804283047,1481.1120906002977
14178,CUB.1_1,2002,CUB,2855.302945076827,1814.5923154398904
14179,CUB.1_1,2003,CUB,2895.610082765737,1727.0954804383052
14180,CUB.1_1,2004,CUB,2981.704977320741,1710.7923070926204
14181,CUB.1_1,2005,CUB,3476.0851476067655,2166.916960880249
14182,CUB.1_1,2006,CUB,4024.2112221331317,2742.405206686328
14183,CUB.1_1,2007,CUB,4286.359374058071,2501.4290397938994
14184,CUB.1_1,2008,CUB,4253.418744067475,2472.9930308199696
14185,CUB.1_1,2009,CUB,4485.984993895312,2717.1326675011596
14186,CUB.1_1,2010,CUB,4606.2204384290235,2785.27904953432
14187,CUB.1_1,2011,CUB,4915.277364724084,2929.655018766157
14188,CUB.1_1,2012,CUB,5025.584225753663,2979.0093805327574
14189,CUB.1_1,2013,CUB,5266.462719510123,3167.8104606447323
14190,CUB.2_1,1992,CUB,2332.300242282073,1433.1792990657827
14191,CUB.2_1,1993,CUB,2359.2137157204106,1402.0891187624238
14192,CUB.2_1,1994,CUB,2904.518468715453,1954.0602035446263
14193,CUB.2_1,1995,CUB,3048.7708087606065,1824.0927300952667
14194,CUB.2_1,1996,CUB,2334.3042665619146,1394.0925776461404
14195,CUB.2_1,1997,CUB,2388.8959960987027,1511.6468019897195
14196,CUB.2_1,1998,CUB,2407.159974466902,1429.7447207247048
14197,CUB.2_1,1999,CUB,2512.3590921661585,1431.8503892555534
14198,CUB.2_1,2000,CUB,2784.475454240064,1648.2693796451094
14199,CUB.2_1,2001,CUB,2850.4014387823263,1624.892835473698
14200,CUB.2_1,2002,CUB,3026.3254760933683,1823.5038566832127
14201,CUB.2_1,2003,CUB,2923.1006423243293,1735.642848392389
14202,CUB.2_1,2004,CUB,3160.9427123186188,1905.1551558028384
14203,CUB.2_1,2005,CUB,3395.7204264960037,1961.978075936309
14204,CUB.2_1,2006,CUB,4085.245013483599,2234.502605174346
14205,CUB.2_1,2007,CUB,4340.966007209716,2383.420022242439
14206,CUB.2_1,2008,CUB,4585.179926907336,3017.614270269185
14207,CUB.2_1,2009,CUB,4588.7253987015765,2669.3997689312773
14208,CUB.2_1,2010,CUB,4991.685648819888,3042.6251519948623
14209,CUB.2_1,2011,CUB,5162.628735926587,3165.0162342337535
14210,CUB.2_1,2012,CUB,5151.796902392229,3147.4002069183043
14211,CUB.2_1,2013,CUB,5717.259580009265,3664.482899534946
14212,CUB.3_1,1992,CUB,2319.7647619261425,1320.274136431161
14213,CUB.3_1,1993,CUB,2317.114765240931,1372.966101042944
14214,CUB.3_1,1994,CUB,2989.0458366594094,1785.1338888034675
14215,CUB.3_1,1995,CUB,2935.5975103870965,1826.3512428616473
14216,CUB.3_1,1996,CUB,2401.3094648829533,1395.1677589042713
14217,CUB.3_1,1997,CUB,2470.828092300905,1543.410584904558
14218,CUB.3_1,1998,CUB,2542.2847195017102,1537.460775558542
14219,CUB.3_1,1999,CUB,2778.83159349181,1666.9693542614884
14220,CUB.3_1,2000,CUB,2922.2756223663328,1805.8567580653053
14221,CUB.3_1,2001,CUB,3026.1118360411083,1779.5976767162758
14222,CUB.3_1,2002,CUB,2984.9634592363013,1893.5864071097894
14223,CUB.3_1,2003,CUB,3071.9191667013447,1761.836581700798
14224,CUB.3_1,2004,CUB,3325.719168435958,1911.555158676716
14225,CUB.3_1,2005,CUB,3363.7687842049236,2005.5706683403228
14226,CUB.3_1,2006,CUB,4337.083848538786,2527.7066228998956
14227,CUB.3_1,2007,CUB,4647.286566230131,2853.1109879162655
14228,CUB.3_1,2008,CUB,5251.164799387915,3010.265731646208
14229,CUB.3_1,2009,CUB,5103.707385245343,2995.7071742736794
14230,CUB.3_1,2010,CUB,5247.332213201941,3359.6208939391568
14231,CUB.3_1,2011,CUB,5559.0686462538015,3651.008188611667
14232,CUB.3_1,2012,CUB,5735.918730204619,3338.7552719710325
14233,CUB.3_1,2013,CUB,5822.815996860764,3961.368430641238
14234,CUB.4_1,1992,CUB,2531.729144163482,1567.14116712032
14235,CUB.4_1,1993,CUB,2724.2501968131282,1699.9956630785637
14236,CUB.4_1,1994,CUB,3254.6908652296634,2047.146706148154
14237,CUB.4_1,1995,CUB,3362.238362690625,1945.7234897071344
14238,CUB.4_1,1996,CUB,2794.2764605256953,1769.57325065425
14239,CUB.4_1,1997,CUB,2757.220227290729,1787.0467952853012
